system,dataset,MAPE_avg,MAE_avg,RMSE_avg,MAPE_std,MAE_std,RMSE_std,num_repeats
kanzi,artificl.csv,0.0960527499019858,0.04198633586814494,0.07667688859463703,0.0022198955295620825,0.0013305565327788845,0.004430651106551865,30
kanzi,deepfield.csv,2.6043034543645844,3.8678213747740418,7.375147219894353,0.3008544392677401,0.17995229755879585,0.5336492999350861,30
kanzi,enwik8.csv,0.40074161080869236,6.699199650397966,13.76115067460253,0.021180565930340838,0.35634128873559723,1.25253660485014,30
kanzi,fannie_mae_500k.csv,0.470598631506274,5.120114544065378,11.115613059541912,0.028146939642087147,0.30960174278336927,1.013729062043158,30
kanzi,large.csv,0.20655214305772854,0.7088464155857256,1.491547187521346,0.010412939224984203,0.03676204230094918,0.13228038753667776,30
kanzi,misc.csv,0.10064732025619753,0.08348579722843122,0.14963319126894925,0.0030496984223656637,0.0028279131493297812,0.009209903809210346,30
kanzi,silesia.csv,0.41562254682807004,13.485478184158746,27.80541460044764,0.02340857609868927,0.7456885793941117,2.4101760974772635,30
kanzi,vmlinux.csv,3.2899158113011064,34.94024131978846,74.40186952725936,0.2582320227153795,2.2592638332688635,4.681910740172512,30
lrzip,ambivert.wav.tar.csv,1.7657267460661517,14.663078732961734,22.699141066279243,0.2839282738979307,1.4670163810076282,2.8786696895921797,30
lrzip,artificl.tar.csv,13.468619367255831,1.2659464819828015,1.3981238399273173,2.723358908643289,0.05852396368370706,0.06511006582290707,30
lrzip,deepfield.tar.csv,1.7272850062330947,14.233448963831853,21.81870883484115,0.2906937791685607,1.3690643008841206,2.9831043904254413,30
lrzip,enwik8.tar.csv,1.2046717517619723,19.400974580397712,27.303310236410038,0.1579653587527763,1.631665479743697,3.076284402513582,30
lrzip,fannie_mae_500k.tar.csv,0.12172396280883221,5.1920883684494665,7.378931691630495,0.00806855202170345,0.4185865108526898,0.7488596836291679,30
lrzip,large.tar.csv,1.0254598235942534,2.221064465159365,2.947345755375111,0.17479654898398378,0.20572061520578108,0.25614695975661,30
lrzip,misc.tar.csv,2.683229078612214,1.271331081748438,1.4352941996505761,0.48129910409225196,0.0734053432341589,0.08422101496993226,30
lrzip,silesia.tar.csv,1.404063263259481,32.72287846324042,46.11556528753526,0.1843588165334617,2.5897081256231558,4.789124478732515,30
lrzip,uiq-32.bin.csv,2.3155263158361072,54.560329145542454,75.97079752643464,0.3181796631562952,4.134262066221156,7.624273452817397,30
lrzip,uiq2-16.bin.csv,2.066680935811378,29.91894515910455,42.246004800085935,0.29458265852158466,2.2587884230714015,4.417072244519361,30
lrzip,uiq2-4.bin.csv,1.341543066693023,7.126576548901078,10.506221555235703,0.21971211944469662,0.6992571852702429,1.3586281081746574,30
lrzip,uiq2-8.bin.csv,1.6474892933032685,14.885969246252195,21.324693840717586,0.25007902807964305,1.2265467228964444,2.4555489486610407,30
lrzip,vmlinux-5.10.tar.csv,0.8303856602482326,4.563933023374231,6.63754624205568,0.11978716983404841,0.4169550656361578,0.7402456207738691,30
x264,blue_sky_1080p25_short.y4m.csv,0.2833875120007331,1.7466824910500833,3.0387742494899723,0.014793600213980036,0.07240239625095493,0.13086882806485733,30
x264,Johnny_1280x720_60_short.y4m.csv,0.3121757990008445,1.4337758476079494,2.5317798541394527,0.016465403886222273,0.06189406353015429,0.11529847389378475,30
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,0.2852164682503177,4.8802206292620705,8.444481568545951,0.01676605464118037,0.20842689235047462,0.3891192815448146,30
x264,pedestrian_area_1080p25_short.y4m.csv,0.27095105208831893,2.029484392614117,3.4899953287378143,0.015631745112683,0.08326468327238219,0.14952713527505296,30
x264,riverbed_1080p25_short.y4m.csv,0.2644700881466323,3.8740900192692656,6.6737508089238995,0.015002870048248337,0.15418371366460004,0.2846971828959077,30
x264,sd_bridge_close_cif_short.y4m.csv,0.20654117897073537,0.08004013372768683,0.13164492513397222,0.01288756788227504,0.003301898613575614,0.005629932636245696,30
x264,sd_city_4cif_short.y4m.csv,0.28997250605319996,0.8111044939146927,1.4040334564744432,0.015944077443224097,0.03288655697115935,0.059123648749442086,30
x264,sd_crew_cif_short.y4m.csv,0.24552234779115362,0.13940822456051238,0.23583751439255574,0.013367179496938837,0.0055287483203953665,0.010707343238176719,30
x264,sintel_trailer_2k_720p24_short.y4m.csv,0.23282747336091358,0.22532681301882987,0.3765869474518505,0.017127787707812182,0.008638061628547532,0.015831346230018216,30
xz,ambivert.wav.tar.csv,0.14557623051217164,1.910294229962999,3.939822886420061,0.019728012054488424,0.1333169310490414,0.4122089748564813,30
xz,artificl.tar.csv,0.2923676759209694,0.006353139882792325,0.0075837386778215944,0.01064704208000664,0.00011224105450343635,0.00015104500362249048,30
xz,deepfield.tar.csv,0.10574911286603292,1.2838423964520336,2.9406722412994784,0.008897116844527648,0.09837858256372803,0.4894169279633417,30
xz,enwik8.tar.csv,0.2665367567035059,15.278108278059992,37.502825125043515,0.035071376791858656,1.3002163669044455,5.377709655664466,30
xz,fannie_mae_500k.tar.csv,0.11258701296743907,4.958168977033261,9.180010318565051,0.007795622548391627,0.3225089543291796,0.7565616849743758,30
xz,large.tar.csv,0.09138360057652324,0.4009031317656651,0.6709742296450231,0.006331242317789617,0.020473276461352864,0.05996527707779034,30
xz,misc.tar.csv,0.07088397252134099,0.029304198714351994,0.05855060756524008,0.0031383460743701556,0.001498938981312306,0.005890521678535962,30
xz,silesia.tar.csv,0.11871891804684505,9.459016535310093,18.731851298596077,0.012348062450460178,0.6599288212002755,1.8681972461964211,30
xz,uiq-32.bin.csv,0.19778785510696933,17.686018299244264,37.47438384437819,0.01823014229915003,1.1951017766609993,3.687811153236901,30
xz,uiq2-16.bin.csv,0.19467103013129378,8.453490814502105,19.86999321250572,0.017232617648651066,0.5216339832201782,2.588490838757985,30
xz,uiq2-4.bin.csv,0.11925254612123809,1.0347906779006935,2.2177567401845737,0.010845895884833078,0.0703080795446607,0.29673305916636306,30
xz,uiq2-8.bin.csv,0.16676477263614037,3.5342752902615397,8.44748249792338,0.014460102185619089,0.2467119821993963,1.4997379748441666,30
xz,vmlinux-5.10.tar.csv,0.06300286021458078,0.4353834179544402,0.7511054440166407,0.004816305315709058,0.025747330867162823,0.06275999077140246,30
z3,AUFNIRA_z3.637557.smt2.csv,1.0678379899209063,20.165528970844324,31.776916114659905,0.10564727941751684,1.7651131586894515,2.881319659012956,30
z3,LRA_formula_277.smt2.csv,0.04196160002943719,0.1088508916107754,0.14475155734766493,0.0036176968005198766,0.007329401719458396,0.009194806709746886,30
z3,QF_AUFBV_891_sqlite3.smt2.csv,1.3404515097395722,3.385526199322709,5.865465376550891,0.42682720572324734,0.309179240818401,0.8019775394454606,30
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,0.07366240895283388,0.47877666080777875,0.6222205775924965,0.0051570157432043115,0.02521586566144304,0.033663014776767294,30
z3,QF_BV_bench_3176.smt2.csv,1.8666375936558786,29.781915889416545,45.65617709837326,0.17735099475854482,2.29491009517589,3.960641009583567,30
z3,QF_BV_bench_935.smt2.csv,3.3009506857210464,21.738191657148253,30.163875627055003,0.4012879045396597,1.6109033635213388,2.1312706380376936,30
z3,QF_LIA_tightrhombus.csv,0.3222636457524494,0.26943554691619903,0.37798740828001465,0.0451770543992249,0.016300536877482785,0.024345360075770393,30
z3,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2.csv,0.03392343161885649,0.4166179679366329,0.5187682105480315,0.002585399031079072,0.025881863761335614,0.03364354649704983,30
z3,QF_NRA_hong_9.smt2.csv,0.02868436333318153,0.11763486450929377,0.14068037708722436,0.0023115351648209104,0.009263369932870458,0.010162086398196235,30
z3,QF_RDL_orb08_888.smt2.csv,0.02631557884344398,0.25049643334520594,0.3153471114632901,0.0017967686176942868,0.01753703954134965,0.022016501115757956,30
z3,QF_UFLIA_xs_23_43.smt2.csv,0.09929120274789259,2.3701933692754187,3.611594150772558,0.007846881139407935,0.1428505863686555,0.26827616351831823,30
z3,QF_UF_PEQ018_size6.smt2.csv,1.2569835717946114,35.96565968844087,61.58947693737024,0.15753614662511506,3.0837170652167574,5.852840089385372,30
