,System,Dataset,MAPE_Baseline,MAPE_RF,MAPE_Δ%,MAE_Baseline,MAE_RF,MAE_Δ%,RMSE_Baseline,RMSE_RF,RMSE_Δ%
74,xz,misc.tar.csv,0.2257,0.0709,-68.60%,0.0875,0.0293,-66.50%,0.1170,0.0586,-49.94%
75,xz,silesia.tar.csv,0.9420,0.1187,-87.40%,61.4560,9.4590,-84.61%,77.4834,18.7319,-75.82%
76,xz,uiq-32.bin.csv,1.1838,0.1978,-83.29%,72.2061,17.6860,-75.51%,92.0394,37.4744,-59.28%
77,xz,uiq2-16.bin.csv,1.0578,0.1947,-81.60%,32.0412,8.4535,-73.62%,42.8170,19.8700,-53.59%
78,xz,uiq2-4.bin.csv,0.6043,0.1193,-80.27%,4.3155,1.0348,-76.02%,5.9686,2.2178,-62.84%
79,xz,uiq2-8.bin.csv,0.8016,0.1668,-79.20%,11.9061,3.5343,-70.32%,16.6012,8.4475,-49.12%
80,xz,vmlinux-5.10.tar.csv,0.2822,0.0630,-77.67%,1.8616,0.4354,-76.61%,2.2679,0.7511,-66.88%
81,z3,AUFNIRA_z3.637557.smt2.csv,7.6353,1.0678,-86.01%,88.4891,20.1655,-77.21%,100.0147,31.7769,-68.23%
82,z3,LRA_formula_277.smt2.csv,0.1099,0.0420,-61.82%,0.3168,0.1089,-65.64%,0.3228,0.1448,-55.16%
83,z3,QF_AUFBV_891_sqlite3.smt2.csv,5.3003,1.3405,-74.71%,9.9779,3.3855,-66.07%,13.1878,5.8655,-55.52%
84,z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,0.1298,0.0737,-43.24%,0.9492,0.4788,-49.56%,1.1597,0.6222,-46.35%
85,z3,QF_BV_bench_3176.smt2.csv,10.3044,1.8666,-81.89%,132.1678,29.7819,-77.47%,151.5127,45.6562,-69.87%
86,z3,QF_BV_bench_935.smt2.csv,17.6613,3.3010,-81.31%,93.1331,21.7382,-76.66%,96.8999,30.1639,-68.87%
87,z3,QF_LIA_tightrhombus.csv,0.7209,0.3223,-55.30%,0.5851,0.2694,-53.95%,0.7969,0.3780,-52.57%
88,z3,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2.csv,0.0541,0.0339,-37.33%,0.7432,0.4166,-43.94%,0.8798,0.5188,-41.04%
89,z3,QF_NRA_hong_9.smt2.csv,0.0021,0.0287,1241.74%,0.0092,0.1176,1185.47%,0.0155,0.1407,809.84%
90,z3,QF_RDL_orb08_888.smt2.csv,0.0287,0.0263,-8.26%,0.2629,0.2505,-4.72%,0.3350,0.3153,-5.88%
91,z3,QF_UFLIA_xs_23_43.smt2.csv,0.3659,0.0993,-72.87%,8.0881,2.3702,-70.70%,9.7732,3.6116,-63.05%
92,z3,QF_UF_PEQ018_size6.smt2.csv,9.7306,1.2570,-87.08%,161.2996,35.9657,-77.70%,203.0680,61.5895,-69.67%
