system,dataset,repeat,MAPE,MAE,RMSE
batlik,karte.csv,5,0.15257160145749696,1.4910802107619472,1.8852364924541665
batlik,karte.csv,6,0.14964144679154978,1.4893199656042038,1.8548606625472108
batlik,karte.csv,7,0.14834153083863275,1.479165671407036,1.8373853512348046
batlik,karte.csv,8,0.1491460667058567,1.4806294923238899,1.9341181078995902
batlik,karte.csv,9,0.14790322656038407,1.494509897844723,1.8760545108937632
batlik,karte.csv,10,0.14702939797226103,1.461020725596782,1.7824783667138957
batlik,karte.csv,11,0.1499822765980237,1.4799927792833778,1.8638716775697108
batlik,karte.csv,12,0.1478819046522999,1.4788192898584969,1.8314752893684039
batlik,karte.csv,13,0.15163547046053846,1.510005155151428,1.9056297343921316
batlik,karte.csv,14,0.15020314314404098,1.4749404805214767,1.849020900258644
batlik,karte.csv,15,0.14965384130660064,1.4603513523129585,1.8654831148419417
batlik,karte.csv,16,0.14894181176180127,1.4914018893188374,1.838431609621102
batlik,karte.csv,17,0.1484583885803931,1.4788092977387448,1.8254468485844197
batlik,karte.csv,18,0.15820370738160677,1.537407740613013,1.963808053736459
batlik,karte.csv,19,0.1527917059358533,1.506934903809042,1.9121096638389898
batlik,karte.csv,20,0.14806699351356215,1.4820755632115887,1.901197395281398
batlik,karte.csv,21,0.14988659738620452,1.4946789690978461,1.8357543234452247
batlik,karte.csv,22,0.15020212251773757,1.509011204682008,1.8971363351110493
batlik,karte.csv,23,0.14355733420089806,1.4637161755195125,1.8532751890341839
batlik,karte.csv,24,0.15500250546199057,1.5216896669291877,1.8777701219932617
batlik,karte.csv,25,0.15345315519327413,1.4934294481262396,1.8931404106961303
batlik,karte.csv,26,0.15602279955293222,1.539535316479708,1.943341806782519
batlik,karte.csv,27,0.15428003711346203,1.527047002262525,1.9574139309230112
batlik,karte.csv,28,0.14887176649900993,1.5108482054412329,1.8874370049599858
batlik,karte.csv,29,0.14744563128858562,1.4612607847383527,1.8537984174886848
batlik,mandelbrot.csv,0,0.0462183450669916,0.06148834428135467,0.08405808192008567
batlik,mandelbrot.csv,1,0.047798040208352904,0.06295852141069266,0.08551903258818416
batlik,mandelbrot.csv,2,0.04771569535997185,0.06332846966954614,0.08552353699051954
batlik,mandelbrot.csv,3,0.04592918524103592,0.06056746562510545,0.0822431491685728
batlik,mandelbrot.csv,4,0.046880078230921565,0.06195478253354472,0.08578680411754173
batlik,mandelbrot.csv,5,0.04580249630399645,0.06014421137057302,0.08342950195720354
batlik,mandelbrot.csv,6,0.04634412347375499,0.06044228071761689,0.08220151572877829
batlik,mandelbrot.csv,7,0.04720578132217046,0.06256447326911488,0.08541347986789063
batlik,mandelbrot.csv,8,0.04605190412672215,0.06068176972251946,0.08299298307424535
batlik,mandelbrot.csv,9,0.046446621640866846,0.06209302744541829,0.08474149931037273
batlik,mandelbrot.csv,10,0.04472992227349475,0.05926231759193999,0.08214850709349172
batlik,mandelbrot.csv,11,0.04746221745173742,0.06296213010030681,0.08585956000314918
batlik,mandelbrot.csv,12,0.045278487718500175,0.06012752322629135,0.08252534834828007
batlik,mandelbrot.csv,13,0.04640082153061507,0.06154485758592868,0.08566006900721786
batlik,mandelbrot.csv,14,0.04764237767637262,0.06317569323765887,0.08525135090282601
batlik,mandelbrot.csv,15,0.04443441631872767,0.058244732825495554,0.08078619302242772
batlik,mandelbrot.csv,16,0.046024388254101385,0.06075794001341214,0.08415027745946865
batlik,mandelbrot.csv,17,0.044997382218709706,0.059476517664987974,0.08257078214790595
batlik,mandelbrot.csv,18,0.048530756324012596,0.0638293149376356,0.08722118227740848
